service_id,date,exception_type
25EISA_R12,20260509,1
25EISA_R12,20260516,1
25EISA_R12,20260523,1
25EISA_R12,20260530,1
25EISA_R12,20260606,1
25EISA_R12,20260613,1
25EISA_R12,20260620,1
25EISA_R12,20260627,1
25001ILA_0101,20251226,1
25001ILA_0101,20260102,1
25001ILA_0101,20260626,1
25001ILA_0102,20251226,1
25001ILA_0102,20260102,1
25001ILA_0102,20260626,1
25001ILA_0103,20251226,1
25001ILA_0103,20260102,1
25001ILA_0103,20260626,1
25001ILA_0104,20251226,1
25001ILA_0104,20260102,1
25001ILA_0104,20260626,1
25001ILA_0105,20251226,1
25001ILA_0105,20260102,1
25001ILA_0105,20260626,1
25001ILA_0106,20251226,1
25001ILA_0106,20260102,1
25001ILA_0106,20260626,1
25001ILA_0107,20251226,1
25001ILA_0107,20260102,1
25001ILA_0107,20260626,1
25001ILA_0111,20251226,1
25001ILA_0111,20260102,1
25001ILA_0111,20260626,1
25001ILA_0112,20251226,1
25001ILA_0112,20260102,1
25001ILA_0112,20260626,1
25002ILA_0201,20251226,1
25002ILA_0201,20260102,1
25002ILA_0201,20260626,1
25002ILA_0202,20251226,1
25002ILA_0202,20260102,1
25002ILA_0202,20260626,1
25002ILA_0203,20251226,1
25002ILA_0203,20260102,1
25002ILA_0203,20260626,1
25002ILA_0204,20251226,1
25002ILA_0204,20260102,1
25002ILA_0204,20260626,1
25002ILA_0205,20251226,1
25002ILA_0205,20260102,1
25002ILA_0205,20260626,1
25002ILA_0206,20251226,1
25002ILA_0206,20260102,1
25002ILA_0206,20260626,1
25002ILA_0207,20251226,1
25002ILA_0207,20260102,1
25002ILA_0207,20260626,1
25002ILA_0211,20251226,1
25002ILA_0211,20260102,1
25002ILA_0211,20260626,1
25003ILA_0301,20251226,1
25003ILA_0301,20260102,1
25003ILA_0301,20260626,1
25003ILA_0302,20251226,1
25003ILA_0302,20260102,1
25003ILA_0302,20260626,1
25003ILA_0303,20251226,1
25003ILA_0303,20260102,1
25003ILA_0303,20260626,1
25003ILA_0304,20251226,1
25003ILA_0304,20260102,1
25003ILA_0304,20260626,1
25004ILB_0401,20251226,1
25004ILB_0401,20260102,1
25004ILB_0401,20260626,1
25004ILB_0402,20251226,1
25004ILB_0402,20260102,1
25004ILB_0402,20260626,1
25004ILB_0403,20251226,1
25004ILB_0403,20260102,1
25004ILB_0403,20260626,1
25004ILB_0404,20251226,1
25004ILB_0404,20260102,1
25004ILB_0404,20260626,1
25004ILB_0411,20251226,1
25004ILB_0411,20260102,1
25004ILB_0411,20260626,1
25004ILB_0412,20251226,1
25004ILB_0412,20260102,1
25004ILB_0412,20260626,1
25004ILB_0413,20251226,1
25004ILB_0413,20260102,1
25004ILB_0413,20260626,1
25004ILB_0414,20251226,1
25004ILB_0414,20260102,1
25004ILB_0414,20260626,1
25011ILA_1101,20251226,1
25011ILA_1101,20260102,1
25011ILA_1101,20260626,1
25011ILA_1102,20251226,1
25011ILA_1102,20260102,1
25011ILA_1102,20260626,1
25012ILA_1201,20251226,1
25012ILA_1201,20260102,1
25012ILA_1201,20260626,1
25012ILA_1202,20251226,1
25012ILA_1202,20260102,1
25012ILA_1202,20260626,1
25012ILA_1203,20251226,1
25012ILA_1203,20260102,1
25012ILA_1203,20260626,1
25012ILA_1212,20251226,1
25012ILA_1212,20260102,1
25012ILA_1212,20260626,1
25013ILA_1301,20251226,1
25013ILA_1301,20260102,1
25013ILA_1301,20260626,1
25013ILA_1302,20251226,1
25013ILA_1302,20260102,1
25013ILA_1302,20260626,1
25013ILA_1303,20251226,1
25013ILA_1303,20260102,1
25013ILA_1303,20260626,1
25013ILA_1304,20251226,1
25013ILA_1304,20260102,1
25013ILA_1304,20260626,1
25014ILA_1401,20251226,1
